text,label
"Ažuriranje — Ažuriranje SLA sporazuma. Sastanak je potvrđen prema našem dogovoru. Termin za sledeće korake: četvrtak. Srdačan pozdrav, office@kompanija.rs.",0
"Obaveštenje tima — Ažuriranje SLA sporazuma: Termin možemo pomeriti ako ti ne odgovara. Srdačan pozdrav, jovana.milovic@agencija.rs.",0
Drago mi je da te obavestim o ažuriranje projekta. Sastanak je potvrđen prema našem dogovoru. Slobodan/na si da pitaš. Ugodan ostatak dana.,0
HITNO: Povraćaj sredstava čeka Vašu potvrdu. Kliknite na dugme ispod i ažurirajte profil što je pre moguće. Ignorisanje ove poruke tumači se kao pristanak na brisanje. Podrška: transactioncheck-now.biz.,1
Poštovana koleginice. Napomena o obaveštenje o isporuci: Sastanak je potvrđen prema našem dogovoru. Odgovori do ponedeljak. Vidimo se uskoro.,0
"Podrška korisnicima, Identitet korisnika nije potvrđen. Ukupan iznos: 38.200 RSD. Pratite instrukcije u priloženom PDF dokumentu. Bez potvrde nema isplate sredstava. Ref. br. 41085635.",1
Tim izveštaj: Rezultati kvartalne analize. Molim da pripremiš prezentaciju za petak. Termin: kraj sedmice u 16:30. Puno pozdrava.,0
"Direktan poziv, Zabeleženo je prijavljivanje sa VPN adrese nepoznate lokacije. Ukupan iznos: 2.490 RSD. Preuzmite PDF i verifikujte nalog. Rok za potvrdu ističe danas u 23:59. Ref. br. 57043834.",1
"Ažuriranje — Podsetnik za godišnju procenu. Molim te da potvrdiš prijem ove poruke. Termin za sledeće korake: sledeći petak. Vidimo se uskoro, direktor@firma.rs.",0
"Podsećanje: Obaveštenje o tehničkom održavanju sistema. Sastanak je potvrđen prema našem dogovoru. Planiran termin je utorak. Ostajemo u kontaktu, milos.stojanovic@firma.rs.",0
Informacija — Obaveštenje o novom kolegi. Molim da pripremiš prezentaciju za petak. Sledeći korak planiran za utorak u 12:00. Hvala na saradnji.,0
ALARM — transactioncheck-now.biz: Vaša pretplata ističe u roku od 24 sata. Unesite jednokratni kod koji ste primili SMS-om odmah. Rok za žalbu ističe u roku od jednog sata.,1
Pozdrav ekipo. Evo kratkog sažetka o plan nabavke opreme. Podaci su ažurirani u skladu sa poslednjim izmenama. Hvala na saradnji. Kontakt: ana.jovanovic@kompanija.rs.,0
Pozdrav ekipo. Napomena o izveštaj o napretku tima: Faktura je izdata kroz redovni računovodstveni proces. Odgovori do četvrtak. Lep pozdrav.,0
Poštovani klijente. Servis upozorava: Pristup servisu je ograničen zbog bezbednosnog alarma. Pozovite naš broj podrške odmah pre 90:00. Nalog će biti prenet na odeljenje za prevare bez Vaše potvrde.,1
"Dobro jutro, šaljem informaciju u vezi sa odobrenje troškova putovanja. Prosleđujem zapisnik svima koji su bili na sastanku. Rok: sredu. Vidimo se uskoro.",0
Zdravo svima. Ovim putem potvrđujem interna obuka zaposlenih. Izveštaj je završen i spreman za prezentaciju rukovodstvu. Ostajemo u kontaktu. — stefan.nikolic@preduzece.rs,0
"Dragi klijente, Vaš nalog (94666854) zahteva pažnju: Servisni ugovor ističe danas u ponoć. Preuzmite aplikaciju i potvrdite biometrijsku verifikaciju. Ignorisanje ove poruke tumači se kao pristanak na brisanje.",1
Bezbednosni alarm: Neuobičajena aktivnost je zabeležena na Vašem profile. Iznos zahvata 24.000 RSD. Kliknite na dugme ispod i ažurirajte profil. Sredstva će biti trajno zamrznuta bez Vaše akcije. Ref 17278892.,1
Poruka br. 1244579: Pošiljka je zadržana na carinskoj kontroli. Popunite ovaj formular u roku od 30 minuta. Rokovi se ne mogu produžiti. Ignorisanje ove poruke tumači se kao pristanak na brisanje.,1
Poštovana koleginice. Potvrda: podsećanje na rok predaje. Sve izmene su evidentirane u internom sistemu. Planiramo sledeći ponedeljak u 09:30. Vidimo se uskoro. — hr@kompanija.rs,0
Upozorenje! Zahtev za obnovu istekao je pre nekoliko minuta. Iznos: 9.750 RSD. Otvorite prilog i preuzmite verifikacioni formular u roku od 15 minuta. Postupite u roku od 45 minuta ili će nalog biti trajno ukinut. — account-hold-notice.net.,1
Sistem za detekciju prevara: Servisni ugovor ističe danas u ponoć. Hitno posetite naš portal i resetujte lozinku. Nalog će biti prenet na odeljenje za prevare bez Vaše potvrde. Referenca: 84563883.,1
